RK,TIERS,PLAYER NAME,TEAM,BYE WEEK,SOS SEASON,ECR VS. ADP
1,1,Josh Allen,BUF,12,1 out of 5 stars,0
2,1,Jalen Hurts,PHI,5,2 out of 5 stars,0
3,1,Patrick Mahomes II,KC,6,3 out of 5 stars,0
4,1,Lamar Jackson,BAL,14,4 out of 5 stars,0
5,2,C.J. Stroud,HOU,14,2 out of 5 stars,0
6,2,Anthony Richardson,IND,14,5 out of 5 stars,0
7,2,Joe Burrow,CIN,12,2 out of 5 stars,2
8,2,Dak Prescott,DAL,7,2 out of 5 stars,-1
9,2,Kyler Murray,ARI,11,2 out of 5 stars,1
10,3,Jordan Love,GB,10,5 out of 5 stars,-2
11,3,Brock Purdy,SF,9,2 out of 5 stars,0
12,3,Tua Tagovailoa,MIA,6,2 out of 5 stars,1
13,3,Jared Goff,DET,5,4 out of 5 stars,-1
14,3,Caleb Williams,CHI,7,4 out of 5 stars,0
15,3,Jayden Daniels,WAS,14,3 out of 5 stars,2
16,3,Justin Herbert,LAC,5,2 out of 5 stars,-1
17,3,Trevor Lawrence,JAC,12,5 out of 5 stars,-1
18,4,Kirk Cousins,ATL,12,3 out of 5 stars,0
19,4,Matthew Stafford,LAR,6,4 out of 5 stars,1
20,4,Aaron Rodgers,NYJ,12,2 out of 5 stars,-1
21,4,Deshaun Watson,CLE,10,4 out of 5 stars,0
22,4,Baker Mayfield,TB,11,2 out of 5 stars,0
23,4,Geno Smith,SEA,10,3 out of 5 stars,1
24,4,Will Levis,TEN,5,5 out of 5 stars,-1
25,4,Derek Carr,NO,12,4 out of 5 stars,0
26,4,J.J. McCarthy,MIN,6,5 out of 5 stars,2
27,5,Daniel Jones,NYG,11,2 out of 5 stars,2
28,5,Bryce Young,CAR,11,5 out of 5 stars,-1
29,5,Russell Wilson,PIT,9,2 out of 5 stars,1
30,5,Drake Maye,NE,14,3 out of 5 stars,2
31,5,Justin Fields,PIT,9,2 out of 5 stars,-5
32,5,Bo Nix,DEN,14,2 out of 5 stars,-1
33,5,Gardner Minshew II,LV,10,2 out of 5 stars,0
